CustomerId,Login,X1
90220555,paokara441,300
90224881,arisxidas,300
90388833,AK4700000,300
90201189,panosfousi9,250
90323900,Tarpley,200
90281205,marioskaklas1999,200
90197036,gkourvie,100
90228870,konstantinos19732018,100
90231453,kalabaka3,100
90291904,thanlib,100
90191854,Badcookie1,100
90286280,ASSOS1986X,100
90264181,markos2626,100
90380948,spirous,100
90409973,spiroskrm,100
90159691,Vlad1985,100
90160289,TSIP1963,100
90173345,thanosg7,100
90404689,Manos_Vard69,100
90254470,pit1914,100
90391278,kostas.papakostas,100
90185892,takismpouik,100
90136197,vag24366,100
90211334,Xamalos13,100
90117778,vas1980,100
90369821,SOPNAS,100
90229991,kesjohn69,100
90119545,kpapou1903,100
90101311,georgeball21,100
90270044,Nikos3233,100
90435684,Amonamarth,100
90346721,Vasano2020,100
90284539,DKAR123,100
90131609,tram76,100
90264619,mikealex07,100
90194546,arisdion7,100
90275643,gamadigeal8_,100
90205971,zorzmag,100
90161876,ananin1231,100
90429840,CaptainKirk,100
90338913,pithios13,999
90294754,aimiapos,999
